-23.5277531,-46.7780974,Osasco
-23.5312068,-46.7639842,Presidente Altino
-23.5373889,-46.7447981,Ceasa
-23.546002,-46.7349734,Villa Lobos- Jaguaré
-23.5570851,-46.7136705,Cidade Universitária
-23.5673051,-46.7040683,Pinheiros
-23.5730879,-46.7003017,Hebraica-Rebouças
-23.5853403,-46.6933279,Cidade Jardim
-23.5936275,-46.6942144,Vila Olímpia
-23.6046933,-46.6989534,Berrini
-23.6219957,-46.7032983,Morumbi
-23.6276723,-46.7142645,Granja Julieta
-23.6563338,-46.7211978,Santo Amaro
-23.663512,-46.71304,Socorro
-23.67731,-46.7043515,Jurubatuba
-23.7062955,-46.6904952,Autódromo
-23.7227098,-46.6940963,Primavera Interlagos
-23.7364829,-46.6991768,Grajaú
