-23.1952115,-46.8723913,Jundiaí
-23.2090173,-46.829257,Várzea Paulista
-23.206348,-46.785887,Campo Limpo Paulista
-23.236177,-46.7675599,Botujuru
-23.2823916,-46.7421268,Francisco Morato
-23.309902,-46.723816,Baltazar Fidélis
-23.3296832,-46.7263767,Franco da Rocha
-23.3662266,-46.7515269,Caieiras
-23.4051059,-46.7535404,Perus
-23.4380402,-46.7472362,Vila Aurora
-23.4554275,-46.7384185,Jaraguá
-23.4700521,-46.7443382,Vila Clarice
-23.4879787,-46.7263063,Pirituba
-23.5040095,-46.7148335,Piqueri
-23.520327,-46.6989541,Lapa
-23.5213623,-46.6884401,Água Branca
-23.5254628,-46.6674214,Palmeiras-Barra Funda
-23.5366435,-46.6343448,Luz
