-23.5153224,-46.1862379,Estudantes
-23.5212164,-46.198952,Mogi das Cruzes
-23.5363086,-46.2273968,Braz Cubas
-23.5427958,-46.2602667,Jundiapeba
-23.534127,-46.3100942,Suzano
-23.5253423,-46.3354629,Calmon Viana
-23.5253963,-46.3457885,Poá
-23.5407474,-46.3704183,Ferraz De Vasconcelos
-23.5543028,-46.3858426,Antônio Gianetti Neto
-23.5423275,-46.4177517,Guaianazes
-23.5391092,-46.4339044,José Bonifácio
-23.5418133,-46.4502983,Dom Bosco
-23.5422696,-46.4732821,Corinthians - Itaquera
-23.5402229,-46.5787798,Tatuapé
-23.5422288,-46.6242517,Brás
-23.5367143,-46.635789,Luz
